vehicle_id,battery_level,city,latitude,longitude,weekday,temp,timestamp,point_in_time,Peak_hour,battery_capacity
1,62,Austin,30.267094,-97.743162,0,21,58:52.1,1,1,180
2,56,Austin,30.26715167,-97.74321,0,21,58:52.1,1,1,180
3,81,Austin,30.26699333,-97.74313333,0,21,58:52.1,1,1,180
4,91,Austin,30.26725833,-97.74331667,0,21,58:52.1,1,1,180
5,35,Austin,30.267405,-97.743035,0,21,58:52.1,1,1,180
6,78,Austin,30.26743333,-97.743095,0,21,58:52.1,1,1,180
7,64,Austin,30.26740333,-97.743225,0,21,58:52.1,1,1,180
8,62,Austin,30.26741333,-97.743225,0,21,58:52.1,1,1,180
9,66,Austin,30.26683,-97.74302667,0,21,58:52.1,1,1,180
10,71,Austin,30.267377,-97.743577,0,21,58:52.1,1,1,180
11,55,Austin,30.26766,-97.74289,0,21,58:52.1,1,1,180
12,90,Austin,30.26689167,-97.74249333,0,21,58:52.1,1,1,180
13,88,Austin,30.266597,-97.742985,0,21,58:52.1,1,1,180
14,82,Austin,30.26771,-97.74295833,0,21,58:52.1,1,1,180
15,85,Austin,30.266469,-97.742895,0,21,58:52.1,1,1,180
16,70,Austin,30.26683833,-97.742325,0,21,58:52.1,1,1,180
17,65,Austin,30.266681,-97.743684,0,21,58:52.1,1,1,180
18,73,Austin,30.267864,-97.742943,0,21,58:52.1,1,1,180
19,49,Austin,30.26782167,-97.74260667,0,21,58:52.1,1,1,180
20,72,Austin,30.26674833,-97.74387333,0,21,58:52.1,1,1,180
21,46,Austin,30.26642167,-97.74349167,0,21,58:52.1,1,1,180
22,44,Austin,30.26794167,-97.74272167,0,21,58:52.1,1,1,180
23,42,Austin,30.268019,-97.742815,0,21,58:52.1,1,1,180
24,97,Austin,30.266295,-97.743385,0,21,58:52.1,1,1,180
25,100,Austin,30.26626333,-97.74331667,0,21,58:52.1,1,1,180
26,93,Austin,30.26628,-97.74342333,0,21,58:52.1,1,1,180
27,85,Austin,30.26801833,-97.742675,0,21,58:52.1,1,1,180
28,97,Austin,30.26808031,-97.74324184,0,21,58:52.1,1,1,180
29,94,Austin,30.266985,-97.74414,0,21,58:52.1,1,1,180
30,96,Austin,30.26626167,-97.74347,0,21,58:52.1,1,1,180
31,91,Austin,30.26806667,-97.74272167,0,21,58:52.1,1,1,180
32,42,Austin,30.26810667,-97.74289667,0,21,58:52.1,1,1,180
33,63,Austin,30.26808,-97.74269833,0,21,58:52.1,1,1,180
34,93,Austin,30.26671333,-97.741875,0,21,58:52.1,1,1,180
35,92,Austin,30.26669167,-97.74186667,0,21,58:52.1,1,1,180
36,90,Austin,30.266785,-97.74182167,0,21,58:52.1,1,1,180
